Tweet,Compound_Score,Sentiments
The package didn't move even though to use the best service it had to arrive today and it didn't arrive,0.6369,Positive
pull promo just trauma tbtb got it using argh,-0.4215,Negative
ugliest feature ever,-0.5859,Negative
"dear, I want to complain about buying Tokopedia goods with an expedition, yes, I received the father of the house and then took the goods with the courier, said the address was wrong, pdhl clearly the address was correct",0.4019,Positive
"choose the courier, just turn it off, get the courier late, get a bad rating, right, the seller is surprised the courier has a lot of problems just using it",-0.6486,Negative
"How about the recommended courier, the worse the package moves",-0.3182,Negative
How,0.0,Neutral
"I think it's real and it means it's a joke, Tokopedia",0.296,Positive
"using the same priority, it's even slower because the courier recommended chat cs toped even the advice hasn't reached the end of the resolution center, it's not getting better, it's getting worse",-0.6126,Negative
"the courier is very slow, makes a bad image, re-tells the office address, active working hours, says the time is ready, the courier's pickup is fast, it makes magical sense",0.1779,Positive
"So it's like this, choosing a recommended courier for an order date, even though I have to move from another place, I thought using subscribe plus priority service would be more expensive, in fact it's slower, more loss wkwkwk",0.2466,Positive
shop using free shipping then get it after all this time get anteraja different courier recommendations even though sending it with a package of extras kur recommendations already arrived using extras paid arrived,0.5106,Positive
"Yes, it's annoying if the automatic package uses anteraja",0.0,Neutral
I think it's real here that money is manipulated so that it lasts longer on tokped,-0.3818,Negative
"admin, how can you change the courier for one package, send it to move, so the effect of the goods arrived on the date of the day, even though the used one was sent far away",0.0,Neutral
"Loyal, sir, run to Shopee if you find items, even if the sale is in the final lot",0.4767,Positive
"Yes, it's just as resentful as it automatically sends my package on a quiet date at the Jakarta warehouse",-0.1027,Negative
automatic package transactions using anteraja couriers are really bad sending here is much better blocking couriers anteraja buying applications,-0.5413,Negative
"I prefer more cashback promos than the city's Anteraja orange shop, my problem is even more Anteraja now, Surabaya, Madiun, until most days",-0.4019,Negative
"convenient compared to shopee, thank God for the service of the Anteraja and the area of ​​impact",0.5574,Positive
"Yesterday morning it kept moving, why did it move, there was a problem or what, then when did my item arrive?",-0.4019,Negative
the signs of the package are not immediately lost,0.2411,Positive
"I was surprised when I found out if the original recommended courier was picked up, it arrived in the middle of the courier, changed which route, Jakarta, just came out of Jakarta this morning, ordered last Friday",0.6124,Positive
